session_id,date,month,device,load_time_s,hour,is_weekend,is_new_user,price_range,n_pages_viewed,has_coupon,cart_value,utm_source,exited_at,exit_reason,converted,order_value
46,2024-01-02,2024-01,desktop,3.09,12,0,1,mid,15,0,591.64,social,landing,unclear_nav,0,0.0
47,2024-05-21,2024-05,desktop,1.87,13,0,0,mid,11,0,1658.66,social,browse,poor_images,0,0.0
48,2024-01-05,2024-01,mobile,1.22,22,0,0,premium,17,1,2077.38,organic,browse,high_price,0,0.0
49,2024-02-17,2024-02,mobile,2.3,11,1,1,budget,15,1,533.43,email,landing,slow_load,0,0.0
50,2024-06-10,2024-06,mobile,3.45,2,0,0,budget,14,1,763.69,organic,browse,no_reviews,0,0.0
51,2024-01-17,2024-01,desktop,1.63,13,0,0,mid,11,0,271.36,social,landing,unclear_nav,0,0.0
52,2024-02-04,2024-02,mobile,3.68,7,1,1,budget,16,0,3157.48,organic,product_detail,forced_login,0,0.0
53,2024-06-18,2024-06,desktop,2.57,20,0,1,mid,15,0,233.32,social,add_to_cart,complex_form,0,0.0
54,2024-05-17,2024-05,desktop,1.34,19,0,1,budget,13,1,511.6,paid,add_to_cart,complex_form,0,0.0
55,2024-02-06,2024-02,mobile,5.84,22,0,1,mid,19,1,632.38,social,browse,high_price,0,0.0
56,2024-05-19,2024-05,mobile,1.25,14,1,1,mid,18,0,970.3,organic,product_detail,price_comparison,0,0.0
57,2024-05-07,2024-05,mobile,2.38,13,0,0,mid,15,0,637.99,social,landing,unclear_nav,0,0.0
58,2024-06-28,2024-06,tablet,2.15,7,0,1,budget,17,0,538.76,paid,landing,unclear_nav,0,0.0
59,2024-06-23,2024-06,mobile,3.86,15,1,1,budget,16,0,213.41,organic,landing,slow_load,0,0.0
60,2024-02-06,2024-02,mobile,2.79,5,0,0,budget,7,0,346.4,organic,browse,high_price,0,0.0
61,2024-01-04,2024-01,mobile,5.16,22,0,1,budget,9,1,910.7,social,landing,no_relevant_product,0,0.0
62,2024-05-26,2024-05,mobile,1.35,13,1,1,premium,8,0,736.17,paid,product_detail,high_shipping,0,0.0
63,2024-05-18,2024-05,mobile,2.86,19,1,1,budget,17,0,1199.1,email,landing,slow_load,0,0.0
64,2024-03-26,2024-03,mobile,3.53,2,0,0,budget,6,0,2043.69,organic,product_detail,high_shipping,0,0.0
65,2024-01-12,2024-01,mobile,2.59,15,0,1,budget,16,0,268.07,paid,product_detail,forced_login,0,0.0
66,2024-03-28,2024-03,desktop,1.47,3,0,1,mid,8,1,1065.54,organic,product_detail,high_shipping,0,0.0
67,2024-02-14,2024-02,desktop,4.76,21,0,0,premium,6,0,475.67,direct,add_to_cart,complex_form,0,0.0
68,2024-04-10,2024-04,mobile,1.81,13,0,0,mid,18,1,392.24,paid,add_to_cart,unexpected_cost,0,0.0
69,2024-04-24,2024-04,mobile,2.09,11,0,1,premium,15,0,652.12,organic,add_to_cart,unexpected_cost,0,0.0
70,2024-05-21,2024-05,mobile,2.59,4,0,1,premium,9,0,1666.49,organic,browse,high_price,0,0.0
71,2024-03-30,2024-03,desktop,2.54,8,1,1,mid,3,0,415.82,organic,add_to_cart,unexpected_cost,0,0.0
72,2024-05-06,2024-05,desktop,1.33,19,0,0,budget,17,0,2135.14,paid,checkout,otp_friction,0,0.0
73,2024-05-06,2024-05,mobile,2.36,23,0,0,premium,3,0,917.0,email,landing,unclear_nav,0,0.0
74,2024-06-12,2024-06,mobile,2.42,3,0,1,budget,12,0,646.68,email,landing,slow_load,0,0.0
75,2024-03-27,2024-03,mobile,2.61,20,0,1,mid,16,0,584.66,paid,browse,high_price,0,0.0
76,2024-02-10,2024-02,mobile,1.42,12,1,0,mid,13,0,1052.33,social,add_to_cart,no_guest_checkout,0,0.0
77,2024-03-01,2024-03,desktop,2.79,19,0,1,premium,18,0,192.87,organic,product_detail,high_shipping,0,0.0
78,2024-01-27,2024-01,mobile,2.64,3,1,0,budget,14,0,1205.89,paid,product_detail,high_shipping,0,0.0
79,2024-01-27,2024-01,desktop,4.52,2,1,1,budget,5,0,380.08,social,landing,unclear_nav,0,0.0
80,2024-06-27,2024-06,mobile,4.79,7,0,1,mid,16,0,931.16,direct,landing,slow_load,0,0.0
81,2024-02-04,2024-02,mobile,3.79,3,1,0,mid,4,1,513.47,organic,add_to_cart,complex_form,0,0.0
82,2024-02-18,2024-02,desktop,5.26,8,1,0,mid,9,0,1022.57,email,browse,no_reviews,0,0.0
83,2024-02-03,2024-02,mobile,1.48,21,1,1,budget,10,1,502.23,paid,landing,slow_load,0,0.0
84,2024-02-09,2024-02,desktop,5.42,18,0,1,mid,3,1,757.71,direct,checkout,otp_friction,0,0.0
85,2024-05-01,2024-05,desktop,4.48,19,0,1,premium,8,0,1724.92,email,browse,out_of_stock,0,0.0
86,2024-02-01,2024-02,desktop,1.57,14,0,1,premium,15,0,458.62,direct,add_to_cart,complex_form,0,0.0
87,2024-02-25,2024-02,mobile,2.5,2,1,1,premium,18,0,811.55,organic,browse,out_of_stock,0,0.0
88,2024-06-09,2024-06,mobile,2.13,3,1,1,mid,8,0,2412.06,social,browse,high_price,0,0.0
89,2024-05-30,2024-05,desktop,3.74,16,0,1,premium,8,0,1215.5,social,landing,unclear_nav,0,0.0
90,2024-05-21,2024-05,mobile,6.04,17,0,0,budget,14,0,842.68,direct,product_detail,forced_login,0,0.0
91,2024-03-21,2024-03,tablet,1.08,11,0,1,premium,9,1,317.53,organic,add_to_cart,complex_form,0,0.0
92,2024-06-17,2024-06,mobile,1.81,16,0,1,mid,17,0,429.12,paid,landing,no_relevant_product,0,0.0
93,2024-03-29,2024-03,mobile,0.92,5,0,1,mid,7,0,675.62,social,landing,slow_load,0,0.0
94,2024-02-08,2024-02,desktop,2.08,6,0,1,budget,11,0,809.99,social,checkout,payment_method_missing,0,0.0
95,2024-05-21,2024-05,tablet,3.78,16,0,1,mid,11,1,841.62,paid,landing,no_relevant_product,0,0.0
96,2024-03-14,2024-03,mobile,1.64,2,0,1,budget,10,0,981.34,organic,payment,,0,0.0
97,2024-06-25,2024-06,desktop,4.82,16,0,1,premium,1,1,550.01,organic,browse,no_reviews,0,0.0
98,2024-02-02,2024-02,mobile,3.94,3,0,0,mid,9,0,724.29,email,checkout,payment_method_missing,0,0.0
99,2024-02-14,2024-02,desktop,1.51,2,0,1,budget,15,0,3455.37,paid,product_detail,price_comparison,0,0.0
100,2024-04-30,2024-04,tablet,1.54,15,0,1,budget,13,0,488.62,social,order_confirmed,,1,488.62
101,2024-02-03,2024-02,desktop,3.82,14,1,1,mid,4,0,620.81,organic,landing,no_relevant_product,0,0.0
102,2024-01-18,2024-01,tablet,1.78,7,0,0,budget,16,0,480.64,direct,checkout,payment_error,0,0.0
103,2024-06-23,2024-06,mobile,2.86,22,1,1,premium,10,0,506.99,email,checkout,payment_error,0,0.0
104,2024-04-30,2024-04,desktop,2.63,15,0,1,mid,15,0,1211.74,paid,browse,out_of_stock,0,0.0
105,2024-01-28,2024-01,mobile,1.8,13,1,1,mid,1,1,1944.47,email,product_detail,price_comparison,0,0.0
106,2024-06-16,2024-06,desktop,3.78,15,1,1,budget,8,1,1466.11,organic,landing,slow_load,0,0.0
107,2024-06-01,2024-06,mobile,3.62,8,1,1,budget,7,1,893.74,email,order_confirmed,,1,893.74
108,2024-03-29,2024-03,mobile,1.97,3,0,0,mid,11,1,186.63,direct,order_confirmed,,1,186.63
109,2024-02-14,2024-02,mobile,1.17,15,0,0,budget,5,0,951.76,organic,product_detail,forced_login,0,0.0
110,2024-01-28,2024-01,mobile,2.57,16,1,1,premium,18,0,454.53,social,landing,unclear_nav,0,0.0
111,2024-02-13,2024-02,mobile,4.3,9,0,0,premium,12,1,416.36,organic,add_to_cart,unexpected_cost,0,0.0
112,2024-06-13,2024-06,mobile,1.77,9,0,0,mid,2,1,1385.12,organic,landing,slow_load,0,0.0
113,2024-02-28,2024-02,mobile,0.83,11,0,1,budget,10,1,3365.91,social,add_to_cart,complex_form,0,0.0
114,2024-01-21,2024-01,mobile,2.15,8,1,0,budget,8,0,1305.07,paid,product_detail,price_comparison,0,0.0
115,2024-06-24,2024-06,mobile,2.69,21,0,0,mid,1,0,582.22,paid,add_to_cart,no_guest_checkout,0,0.0
116,2024-02-13,2024-02,mobile,2.77,0,0,0,budget,11,0,514.27,direct,checkout,payment_error,0,0.0
117,2024-04-24,2024-04,mobile,2.74,10,0,0,budget,1,0,2347.11,email,add_to_cart,no_guest_checkout,0,0.0
118,2024-03-03,2024-03,desktop,1.65,20,1,1,mid,14,0,419.23,organic,add_to_cart,no_guest_checkout,0,0.0
119,2024-05-31,2024-05,desktop,3.57,19,0,0,mid,11,0,694.97,organic,landing,no_relevant_product,0,0.0
120,2024-06-13,2024-06,tablet,2.67,8,0,1,budget,11,0,1982.73,direct,add_to_cart,no_guest_checkout,0,0.0
121,2024-02-14,2024-02,mobile,3.37,19,0,1,mid,9,0,641.2,organic,product_detail,high_shipping,0,0.0
122,2024-06-21,2024-06,desktop,1.0,12,0,1,budget,10,0,489.17,social,landing,slow_load,0,0.0
123,2024-06-12,2024-06,mobile,1.47,17,0,0,mid,19,0,512.29,organic,order_confirmed,,1,512.29
124,2024-04-11,2024-04,desktop,1.96,9,0,1,premium,14,0,897.46,email,product_detail,price_comparison,0,0.0
125,2024-06-20,2024-06,mobile,2.03,4,0,1,budget,2,0,870.97,paid,landing,slow_load,0,0.0
126,2024-02-22,2024-02,mobile,4.1,9,0,0,mid,9,0,377.56,direct,browse,high_price,0,0.0
127,2024-04-20,2024-04,mobile,3.2,5,1,1,mid,7,1,1315.65,email,landing,unclear_nav,0,0.0
128,2024-04-05,2024-04,mobile,2.92,9,0,1,mid,3,1,956.52,email,product_detail,forced_login,0,0.0
129,2024-01-18,2024-01,mobile,4.02,8,0,0,mid,19,0,189.69,paid,add_to_cart,unexpected_cost,0,0.0
130,2024-01-20,2024-01,mobile,2.45,22,1,0,mid,5,0,490.93,organic,product_detail,high_shipping,0,0.0
131,2024-04-13,2024-04,tablet,2.15,12,1,0,budget,1,1,1741.01,social,order_confirmed,,1,1741.01
132,2024-04-12,2024-04,desktop,3.21,18,0,0,mid,14,0,213.99,social,landing,slow_load,0,0.0
133,2024-01-17,2024-01,mobile,2.09,0,0,1,mid,16,0,240.79,organic,browse,out_of_stock,0,0.0
134,2024-04-23,2024-04,mobile,1.71,10,0,0,mid,6,0,307.45,email,landing,unclear_nav,0,0.0
135,2024-02-12,2024-02,mobile,3.9,6,0,1,budget,1,0,1143.21,paid,checkout,payment_error,0,0.0
136,2024-02-09,2024-02,mobile,1.85,0,0,1,budget,2,0,2475.09,social,landing,slow_load,0,0.0
137,2024-01-13,2024-01,tablet,1.35,23,1,0,premium,9,0,1764.45,paid,product_detail,high_shipping,0,0.0
138,2024-02-03,2024-02,tablet,2.8,5,1,1,budget,3,0,227.34,paid,product_detail,high_shipping,0,0.0
139,2024-02-02,2024-02,desktop,0.55,11,0,1,premium,16,0,586.32,organic,add_to_cart,unexpected_cost,0,0.0
140,2024-03-08,2024-03,desktop,4.85,21,0,0,budget,16,1,1471.6,paid,landing,slow_load,0,0.0
141,2024-06-18,2024-06,tablet,1.66,18,0,1,premium,1,0,776.0,email,product_detail,price_comparison,0,0.0
142,2024-03-09,2024-03,mobile,1.36,12,1,0,budget,19,0,1099.83,email,landing,slow_load,0,0.0
143,2024-05-28,2024-05,mobile,2.94,0,0,1,mid,2,0,277.77,organic,product_detail,high_shipping,0,0.0
144,2024-03-06,2024-03,desktop,4.01,8,0,0,budget,1,0,210.03,organic,browse,high_price,0,0.0
145,2024-01-29,2024-01,tablet,1.22,19,0,0,mid,16,1,809.6,social,landing,unclear_nav,0,0.0
146,2024-06-26,2024-06,mobile,1.09,0,0,0,premium,16,0,561.18,social,checkout,otp_friction,0,0.0
147,2024-01-04,2024-01,desktop,5.98,22,0,1,budget,4,1,4175.99,organic,product_detail,price_comparison,0,0.0
148,2024-05-31,2024-05,desktop,2.44,16,0,0,mid,13,0,309.54,social,landing,no_relevant_product,0,0.0
149,2024-03-12,2024-03,desktop,7.05,10,0,0,budget,10,1,295.17,paid,add_to_cart,unexpected_cost,0,0.0
150,2024-06-15,2024-06,desktop,3.25,16,1,0,budget,1,0,786.3,organic,order_confirmed,,1,786.3
151,2024-03-20,2024-03,mobile,1.58,17,0,0,premium,5,0,550.65,social,add_to_cart,no_guest_checkout,0,0.0
152,2024-01-02,2024-01,mobile,4.86,17,0,0,mid,1,1,1263.61,paid,landing,unclear_nav,0,0.0
153,2024-06-05,2024-06,desktop,1.03,1,0,1,mid,2,1,204.56,organic,product_detail,high_shipping,0,0.0
154,2024-01-27,2024-01,mobile,3.2,19,1,0,premium,15,0,786.96,email,landing,slow_load,0,0.0
155,2024-04-09,2024-04,desktop,2.36,14,0,1,budget,19,0,649.49,paid,landing,unclear_nav,0,0.0
156,2024-04-22,2024-04,mobile,1.9,20,0,1,premium,4,0,2023.67,paid,product_detail,forced_login,0,0.0
157,2024-04-06,2024-04,desktop,1.22,3,1,0,budget,16,0,951.61,paid,landing,unclear_nav,0,0.0
158,2024-04-19,2024-04,desktop,3.85,5,0,1,budget,5,0,2305.25,social,product_detail,price_comparison,0,0.0
159,2024-05-17,2024-05,mobile,3.87,10,0,1,mid,6,1,2902.24,social,checkout,otp_friction,0,0.0
160,2024-04-11,2024-04,mobile,3.0,7,0,1,budget,9,0,3320.0,organic,browse,no_reviews,0,0.0
161,2024-05-21,2024-05,desktop,2.42,19,0,0,budget,5,1,822.42,email,order_confirmed,,1,822.42
162,2024-01-13,2024-01,mobile,5.33,0,1,1,mid,6,0,128.02,organic,landing,unclear_nav,0,0.0
163,2024-01-11,2024-01,desktop,1.9,23,0,1,mid,10,0,1025.06,paid,order_confirmed,,1,1025.06
164,2024-06-20,2024-06,desktop,1.44,8,0,1,mid,5,0,579.37,paid,landing,slow_load,0,0.0
165,2024-06-13,2024-06,mobile,2.64,23,0,1,mid,10,0,512.99,organic,landing,no_relevant_product,0,0.0
166,2024-01-25,2024-01,mobile,1.24,17,0,1,premium,12,1,518.23,organic,browse,no_reviews,0,0.0
167,2024-01-20,2024-01,desktop,2.24,14,1,0,budget,14,0,1272.15,paid,product_detail,price_comparison,0,0.0
168,2024-06-24,2024-06,desktop,1.59,20,0,0,mid,5,0,520.92,social,browse,out_of_stock,0,0.0
169,2024-01-09,2024-01,desktop,3.36,15,0,1,premium,6,0,319.63,direct,browse,poor_images,0,0.0
170,2024-03-12,2024-03,mobile,1.39,9,0,1,premium,2,1,1211.29,organic,landing,no_relevant_product,0,0.0
171,2024-05-23,2024-05,mobile,1.71,9,0,0,mid,18,0,854.27,social,browse,out_of_stock,0,0.0
172,2024-03-29,2024-03,mobile,1.91,9,0,1,budget,17,0,517.84,organic,browse,out_of_stock,0,0.0
173,2024-04-19,2024-04,mobile,2.55,2,0,0,budget,17,0,1046.19,paid,landing,unclear_nav,0,0.0
174,2024-03-15,2024-03,mobile,2.3,1,0,1,budget,3,1,680.18,organic,landing,no_relevant_product,0,0.0
175,2024-06-12,2024-06,mobile,1.87,13,0,1,budget,15,1,561.14,organic,landing,unclear_nav,0,0.0
176,2024-02-04,2024-02,desktop,3.04,13,1,0,budget,8,0,1571.88,social,add_to_cart,no_guest_checkout,0,0.0
177,2024-05-01,2024-05,desktop,2.04,1,0,0,mid,3,1,896.07,paid,product_detail,forced_login,0,0.0
178,2024-01-18,2024-01,desktop,1.79,21,0,0,budget,4,1,496.74,paid,order_confirmed,,1,496.74
179,2024-03-12,2024-03,mobile,1.99,12,0,0,premium,11,0,4992.12,paid,landing,slow_load,0,0.0
180,2024-02-20,2024-02,mobile,1.93,23,0,1,mid,6,1,734.17,paid,product_detail,forced_login,0,0.0
181,2024-06-07,2024-06,mobile,2.19,5,0,1,budget,16,1,732.48,social,browse,poor_images,0,0.0
182,2024-06-14,2024-06,mobile,2.78,22,0,0,budget,13,0,1894.76,paid,product_detail,price_comparison,0,0.0
183,2024-01-13,2024-01,mobile,1.0,18,1,1,budget,16,0,744.95,direct,landing,unclear_nav,0,0.0
184,2024-04-14,2024-04,mobile,1.03,14,1,0,budget,11,0,716.73,organic,product_detail,price_comparison,0,0.0
185,2024-04-01,2024-04,desktop,1.76,23,0,0,budget,11,0,893.53,email,browse,high_price,0,0.0
186,2024-02-20,2024-02,mobile,6.05,11,0,0,budget,16,0,286.14,email,product_detail,high_shipping,0,0.0
187,2024-06-29,2024-06,mobile,2.4,18,1,1,mid,18,1,542.72,direct,browse,poor_images,0,0.0
188,2024-05-07,2024-05,desktop,0.98,20,0,0,budget,15,1,292.23,direct,order_confirmed,,1,292.23
189,2024-04-28,2024-04,mobile,1.53,8,1,0,mid,19,0,185.38,direct,checkout,payment_error,0,0.0
190,2024-03-03,2024-03,mobile,6.94,23,1,1,premium,18,1,869.69,organic,landing,slow_load,0,0.0
191,2024-04-17,2024-04,mobile,1.71,14,0,0,mid,12,0,345.36,paid,browse,high_price,0,0.0
192,2024-04-26,2024-04,mobile,1.83,20,0,1,mid,7,0,713.17,direct,browse,high_price,0,0.0
193,2024-04-14,2024-04,mobile,2.85,1,1,1,mid,3,0,281.11,email,browse,high_price,0,0.0
194,2024-02-15,2024-02,desktop,1.9,3,0,1,mid,2,1,750.87,organic,product_detail,price_comparison,0,0.0
195,2024-05-05,2024-05,tablet,2.21,11,1,0,mid,14,1,568.39,paid,checkout,otp_friction,0,0.0
196,2024-02-15,2024-02,desktop,2.99,23,0,1,mid,16,0,1029.22,social,product_detail,price_comparison,0,0.0
197,2024-04-19,2024-04,desktop,3.67,15,0,1,budget,5,0,916.35,email,add_to_cart,complex_form,0,0.0
198,2024-05-17,2024-05,mobile,1.66,9,0,1,mid,7,1,364.7,organic,order_confirmed,,1,364.7
199,2024-04-07,2024-04,desktop,5.72,14,1,0,budget,14,1,307.3,direct,product_detail,price_comparison,0,0.0
200,2024-01-17,2024-01,desktop,1.68,15,0,1,budget,9,0,1272.49,social,checkout,payment_method_missing,0,0.0
201,2024-05-02,2024-05,desktop,3.53,7,0,0,budget,19,0,276.82,email,add_to_cart,complex_form,0,0.0
202,2024-02-28,2024-02,desktop,1.39,19,0,1,budget,13,1,335.6,email,product_detail,forced_login,0,0.0
203,2024-01-09,2024-01,mobile,1.38,14,0,1,mid,1,0,399.72,direct,browse,high_price,0,0.0
204,2024-03-09,2024-03,mobile,1.6,0,1,1,mid,9,1,544.11,social,product_detail,price_comparison,0,0.0
205,2024-03-06,2024-03,mobile,1.39,6,0,1,premium,12,1,734.48,social,landing,no_relevant_product,0,0.0
206,2024-02-18,2024-02,mobile,3.49,3,1,0,budget,11,1,296.33,direct,product_detail,price_comparison,0,0.0
207,2024-02-04,2024-02,mobile,1.2,22,1,0,premium,3,1,685.78,organic,browse,poor_images,0,0.0
208,2024-04-29,2024-04,mobile,0.95,14,0,1,mid,8,0,792.47,organic,landing,slow_load,0,0.0
209,2024-02-24,2024-02,mobile,4.53,22,1,1,budget,5,0,3375.7,social,browse,poor_images,0,0.0
210,2024-02-25,2024-02,mobile,2.16,4,1,0,budget,3,0,624.61,direct,browse,poor_images,0,0.0
211,2024-04-02,2024-04,mobile,5.2,15,0,0,mid,3,0,3268.29,paid,browse,no_reviews,0,0.0
212,2024-03-13,2024-03,desktop,3.41,19,0,1,mid,14,0,670.16,social,landing,slow_load,0,0.0
213,2024-01-11,2024-01,desktop,2.2,19,0,1,premium,15,0,343.5,paid,add_to_cart,no_guest_checkout,0,0.0
214,2024-04-18,2024-04,mobile,1.02,17,0,1,budget,2,1,945.83,social,landing,no_relevant_product,0,0.0
215,2024-02-09,2024-02,tablet,3.28,17,0,0,premium,19,1,286.93,paid,checkout,payment_error,0,0.0
216,2024-03-08,2024-03,mobile,1.8,10,0,1,budget,12,0,2545.55,organic,browse,high_price,0,0.0
217,2024-01-30,2024-01,desktop,4.02,3,0,1,premium,19,1,249.6,paid,checkout,otp_friction,0,0.0
218,2024-03-05,2024-03,desktop,2.74,3,0,1,premium,6,0,141.12,organic,browse,poor_images,0,0.0
219,2024-05-12,2024-05,desktop,4.91,1,1,1,budget,14,0,926.99,organic,product_detail,forced_login,0,0.0
220,2024-02-29,2024-02,mobile,4.36,16,0,0,mid,14,0,1633.57,organic,browse,high_price,0,0.0
221,2024-03-12,2024-03,mobile,1.14,3,0,1,budget,19,1,579.07,paid,add_to_cart,unexpected_cost,0,0.0
222,2024-02-05,2024-02,tablet,1.15,5,0,1,budget,18,0,259.49,paid,product_detail,forced_login,0,0.0
223,2024-05-10,2024-05,mobile,3.05,8,0,1,budget,11,0,940.06,organic,add_to_cart,complex_form,0,0.0
224,2024-03-08,2024-03,mobile,2.3,1,0,1,premium,17,1,70.21,social,landing,unclear_nav,0,0.0
225,2024-02-14,2024-02,desktop,1.09,4,0,1,premium,4,0,976.56,social,browse,out_of_stock,0,0.0
226,2024-05-26,2024-05,mobile,1.79,8,1,0,mid,15,0,1084.94,organic,product_detail,high_shipping,0,0.0
227,2024-04-30,2024-04,mobile,1.75,11,0,1,premium,16,0,2449.05,social,browse,no_reviews,0,0.0
228,2024-06-18,2024-06,mobile,2.45,17,0,1,mid,12,0,237.25,social,product_detail,forced_login,0,0.0
229,2024-03-24,2024-03,desktop,2.66,18,1,0,budget,14,0,805.76,social,landing,slow_load,0,0.0
230,2024-04-20,2024-04,mobile,2.63,14,1,1,mid,4,0,992.36,paid,browse,poor_images,0,0.0
231,2024-05-03,2024-05,mobile,1.55,14,0,1,mid,14,0,516.53,paid,product_detail,price_comparison,0,0.0
232,2024-02-23,2024-02,desktop,1.71,7,0,0,budget,14,0,246.28,email,browse,out_of_stock,0,0.0
233,2024-05-10,2024-05,desktop,1.92,6,0,0,mid,8,0,250.87,organic,browse,no_reviews,0,0.0
234,2024-03-12,2024-03,desktop,1.26,17,0,1,premium,2,0,231.59,organic,browse,no_reviews,0,0.0
235,2024-01-19,2024-01,mobile,1.11,3,0,1,budget,14,0,673.71,organic,browse,out_of_stock,0,0.0
236,2024-05-16,2024-05,mobile,1.57,18,0,1,mid,7,0,322.32,social,product_detail,forced_login,0,0.0
237,2024-01-31,2024-01,tablet,1.97,2,0,1,mid,8,1,360.76,social,checkout,payment_error,0,0.0
238,2024-01-26,2024-01,mobile,0.99,18,0,0,premium,4,0,4643.15,organic,landing,no_relevant_product,0,0.0
